Course ID,Course Name,Description,Terms Offered,Equivalent Courses,Instructors,Prerequisites
ANTH 10100,Introduction to Anthropology.  100 Units.,"Classically defined as the 'science of humankind' or the 'study of human diversity', anthropology examines how people organize themselves into groups and relate to the environment through their cultural beliefs and practices. Students will be introduced to the types of arguments, questions, and problems that have driven anthropological thinking, and to the discipline's unique focus on intensive fieldwork methodologies that span ethnography, archaeology, linguistics, and even biology. We will examine how anthropologists have historically studied topics like belief, kinship, ritual, politics, exchange, and material culture in the non-western world in order to unsettle western norms and assumptions. And we will explore how post-colonial critiques and indigenous perspectives have redefined the discipline in the twenty-first century. Students will learn how anthropologists are today contributing to solving complex global problems, from climate change to economic inequality, racism, violence, immigration, health disparities, political technologies, and the effects of social media. This course serves as a sampler for those curious about the field and it fulfills a basic requirement for those pursing the Anthropology major or minor. Offered at least once yearly by rotating faculty who will provide their unique take on the discipline.",Not specified,None,N/A,Designed as a first course in Anthropology
ANTH 10107,Nature and Technology in the Capitalist Mode of Production.  100 Units.,"The crisis of nature and technology is at the heart of the 21st century mode of production as unprecedented planetary scale ecological destruction, climate change, and exhaustion of fossil fuels undercut the dynamics of capitalist accumulation. At the same time, novel techno-natural fixes are being designed to contain the crises immanent to the life process of capital.  However, these movements are far from seamless; new tensions, contradictions, and horizons of struggles emerge making a critical inquiry of these concepts urgent to Anthropological thinking. In this course, the students will be introduced to foundational approaches to these problems.  
The first half of the course will intensively engage with dialectical materialist frameworks to understand the interrelationship between nature, technology, and consciousness in the capitalist mode of production. From this engagement, we will derive critical concepts that will be used to engage with the pertinent questions of planetary scale appropriation of human, non-human and more-than-human life in emergent anthropological theory and ethnographic literature. In doing so, our goal is to reflect on a series of questions: What is the place of nature and technology in the capitalist mode of production? How and if they embody limits to the workings of capital? How does anthropology allow us to develop new political and theoretical horizons that emerge in the wake of these developments?",Not specified,"HIPS 20107, CEGU 20107",N/A,None
ANTH 12800,Formations of Indigeneity.  100 Units.,"Whose land are we on? What does it mean to be Indigenous, for generations past and in the twenty-first century? From debates over claims of Indigenous ancestry by political actors to the struggles of sacred lands protection against natural resource extraction, understanding the stakes of these concerns for Indigenous peoples and nations is more relevant than ever. This seminar-part of the sequence for majors in the Department of Race, Diaspora, and Indigeneity-introduces students to core texts and concepts in the field of Native American and Indigenous Studies (NAIS). Topics will include sovereignty and governance, settler colonialism, citizenship and nationhood, blood quantum and racialization, diasporas and urban indigeneity, and relationships to land and environment. Course activities may include engagement with Indigenous films, dialogues with visiting Indigenous scholars, and field trips to Chicago-area cultural institutions.",Winter,"RDIN 12300, CHST 12300, HIST 17800, CRES 12800",Teresa Montoya and Matthew Kruer,None
ANTH 20006,Embodiment and the Senses.  100 Units.,"This course approaches bodies as points of insight into governance, the varied experiences of being governed, and efforts to evade and reconfigure institutional expressions of authority. First, we will examine bodies as targets of governance, objects to be reformed, regulated, contained, disciplined, educated, incarcerated, treated, trained, and ""cared"" for. Next, we will consider how bodies accrue power as sites of resistance, refusal, and critique. Certain bodies in certain places elicit discomfort, unsettling familiar divisions such as of private and public space, of developed and backward, of religious and secular, of reason and madness, of citizenship and (often racialized) non-citizenship. Finally, we will ask how bodies and sensory practices figure in ethical projects of crafting exemplary kinds of subjectivity or collectivity. In this way, the course will introduce students to anthropological approaches to embodiment as well as related questions of bio-politics, gender and race, political subjectivity, care and self-making, post/colonialism, sensory politics and the aesthetic. Along the way, students will gain a new appreciation of the political potency of bodies and bodily practices near and far-from Lenin's preserved body to Trump's ""small"" hands, reproductive labor to sex work, dirty protest to women's marches, indigenous eco-rituals to queer intimacies.",Not specified,"RLST 26006, GNSE 24006",N/A,None
ANTH 20537,The Global Black Panther Party.  100 Units.,"In America, the Black Panther Party and its leaders, like Fred Hampton in Chicago, are famous for their revolutionary fight against white supremacy and their violent suppression by US government forces. But what does a Global Studies approach teach us about the Black Panthers? This seminar explores how the Black Panther Party's worldwide networks impacted global understandings of politics, race, and religion. Our readings examine a series of comparative case studies, including the Dalit Panther Party in India, the Mizrahi Black Panther Party in Israel, and the Polynesian Panthers in New Zealand. We analyze primary sources, such as the various Panther Parties' publications, their mainstream press coverage, and their pop cultural representations, like Ta-Nehisi Coates' Black Panther graphic novel and the film Black Panther: Wakanda Forever. In this course, students learn the global Black Panther Parties' roles in reshaping worldwide conceptions of race, caste, and religion through their encounters with the Nation of Islam, Hindu Nationalism, Zionism, and Indigenous rights. No prior knowledge or coursework is required.",Spring,"RDIN 26674, GLST 26674, RLST 26674",Andrew Kunze,None
ANTH 20700,"Global Health, Environment, and Indigenous Futures.  100 Units.","The global coronavirus pandemic has made evident the significance of ecological (im)balances for the well-being of societies. The relationship between structural inequalities, changing environments and health, especially for historically and socio-economically marginalized communities, is now well established. At the same time, a growing body of literature links the material conditions of marginalized communities-for instance, spaces of dwelling and conditions of labor-to health status, globally. Based on a set of interdisciplinary literature arranged through anthropological theories, this course will critically engage with notions of health and well-being for indigenous communities, tracing injustices that stem histories of racial, caste- and ethnicity-based, and environmental exclusions. The readings are organized around one central question: What does it mean to be indigenous in a changing planet where social, political, and economic systems are marked by enduring legacies of systemic violence? This graduate and undergraduate level course will introduce contexts within which structural exclusions lead to ill-health and loss of well-being among indigenous communities across the globe. The aim is to develop critical thinking on the political economy and political ecologies of indigenous health as imbricated with issues of social, economic, and environmental justice.",Not specified,"SALC 32704, CEGU 30700, SALC 26501, CHDV 20700, ANTH 30700, CHDV 30750, RDIN 30700, RDIN 20700, CEGU 20700",N/A,None
ANTH 20701,Introduction to African Civilization I.  100 Units.,"Part one considers literary, oral, linguistic, and material sources to investigate African societies and states from the early Iron Age through the emergence of the Atlantic World. Case studies include: the empires of Ghana and Mali, the Swahili Coast, Great Zimbabwe, Nok of Nigeria, and medieval Ethiopia. We also consider religious and spiritual transformation, including Islam in Africa, as well as the origins and effects of European contact, and the emergence of the transatlantic trade in enslaved human beings. Students examine these times and places through primary sources (such as cultural artifacts, visual representations, myths, and memoirs) which illuminate African perspectives on these different places and times. Assignments: oral presentations, document analyses, essays, and team projects.",Autumn,"HIST 10101, MDVL 10101, SOSC 20101, CRES 20701",Staff,None
ANTH 20702,Introduction to African Civilization II.  100 Units.,"This course examines the transformations of African societies in the long nineteenth century. At the beginning of the era, European economic and political presence was mainly coastal, but by the end, nearly the entire continent was colonized. This course examines how and why this process occurred, highlighting the struggles of African societies to manage internal reforms and external political, military, and economic pressures. Students examine these processes through various primary sources (such as visual and material sources, cultural artifacts, and personal accounts) that highlight African perspectives on these processes.",Winter,"CRES 20802, SOSC 20202, HIST 10102",Staff,None
ANTH 20703,Introduction to African Civilization III.  100 Units.,"African Civilization III examines Africa and the African diaspora in the modern era. Topics may include the end of colonialism and decolonization, the legacies of slavery and its racial logics, identity and cultural expression, theories of personhood, gender and sexuality, migration, governance, and language. Readings vary widely, including primary sources by African and diasporic authors, social theory, and works of art and literature - written, spoken, and performed.",Spring,"HIST 10103, CRES 20303, SOSC 20203",S. Fury Childs Daly and A. Olugbuyiro,None
ANTH 21107,Anthropological Theory.  100 Units.,"Since its inception as an academically institutionalized discipline, anthropology has always addressed the relation between a self-consciously modernizing ""West"" and its various and changing ""others."" Yet it has not always done so with sufficient critical attention to its own concepts and categories - a fact that has led, since at least the 1980s, to considerable debate about the nature of the anthropological enterprise and its epistemological foundations. This course provides a brief critical introduction to the history of anthropological thought over the course of the discipline's ""long"" twentieth century, from the 1880s to the present. Although it centers on the North American and British traditions, we will review important strains of French and, to a lesser extent, German social theory in chronicling the emergence and transformation of ""modern"" anthropology as an empirically based, but theoretically informed practice of knowledge production about human sociality and culture.",Not specified,ANTH 30000,N/A,None
